year	rot_year	rot_cycle	scenario	field	Crop	CC	GCseeded	yield_MC	C_manure	C_CC	stock
2000	1	1	Equal	4ha	Maize	CC	.	11211	2000	0.39	conv_high
2001	2	1	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2002	3	1	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2003	4	1	Equal	4ha	Maize	.	.	11211	1680	.	conv_high
2004	5	1	Equal	4ha	Grain	.	.	4505	1870	.	conv_high
2005	1	2	Equal	4ha	Maize	CC	.	11211	2000	0.39	conv_high
2006	2	2	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2007	3	2	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2008	4	2	Equal	4ha	Maize	.	.	11211	1680	.	conv_high
2009	5	2	Equal	4ha	Grain	.	.	4505	1870	.	conv_high
2010	1	3	Equal	4ha	Maize	CC	.	11211	2000	0.39	conv_high
2011	2	3	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2012	3	3	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2013	4	3	Equal	4ha	Maize	.	.	11211	1680	.	conv_high
2014	5	3	Equal	4ha	Grain	.	.	4505	1870	.	conv_high
2015	1	4	Equal	4ha	Maize	CC	.	11211	2000	0.39	conv_high
2016	2	4	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2017	3	4	Equal	4ha	Maize	CC	.	11211	1680	0.39	conv_high
2018	4	4	Equal	4ha	Maize	.	.	11211	1680	.	conv_high
2019	5	4	Equal	4ha	Grain	.	.	4505	1870	.	conv_high
2000	1	1	Equal	7ha	Maize	CC	.	11211	2000	0.39	conv_high
2001	2	1	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2002	3	1	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2003	4	1	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2004	5	1	Equal	7ha	Grain	.	.	4505	1550	.	conv_high
2005	1	2	Equal	7ha	Maize	CC	.	11211	2000	0.39	conv_high
2006	2	2	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2007	3	2	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2008	4	2	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2009	5	2	Equal	7ha	Grain	.	.	4505	1550	.	conv_high
2010	1	3	Equal	7ha	Maize	CC	.	11211	2000	0.39	conv_high
2011	2	3	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2012	3	3	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2013	4	3	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2014	5	3	Equal	7ha	Grain	.	.	4505	1550	.	conv_high
2015	1	4	Equal	7ha	Maize	CC	.	11211	2000	0.39	conv_high
2016	2	4	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2017	3	4	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2018	4	4	Equal	7ha	Maize	CC	.	11211	1680	0.39	conv_high
2019	5	4	Equal	7ha	Grain	.	.	4505	1550	.	conv_high
2000	1	1	Equal	9ha	Grass	.	.	10167	3930	.	conv_high
2001	2	1	Equal	9ha	Grass	.	.	9195	3930	.	conv_high
2002	3	1	Equal	9ha	Grass	.	.	8597	3930	.	conv_high
2003	4	1	Equal	9ha	Grass	.	.	8447	3930	.	conv_high
2004	5	1	Equal	9ha	Grain	.	GCs	4505	1040	1.50	conv_high
2005	1	2	Equal	9ha	Grass	.	.	10167	3930	.	conv_high
2006	2	2	Equal	9ha	Grass	.	.	9195	3930	.	conv_high
2007	3	2	Equal	9ha	Grass	.	.	8597	3930	.	conv_high
2008	4	2	Equal	9ha	Grass	.	.	8447	3930	.	conv_high
2009	5	2	Equal	9ha	Grain	.	GCs	4505	1040	1.50	conv_high
2010	1	3	Equal	9ha	Grass	.	.	10167	3930	.	conv_high
2011	2	3	Equal	9ha	Grass	.	.	9195	3930	.	conv_high
2012	3	3	Equal	9ha	Grass	.	.	8597	3930	.	conv_high
2013	4	3	Equal	9ha	Grass	.	.	8447	3930	.	conv_high
2014	5	3	Equal	9ha	Grain	.	GCs	4505	1040	1.50	conv_high
2015	1	4	Equal	9ha	Grass	.	.	10167	3930	.	conv_high
2016	2	4	Equal	9ha	Grass	.	.	9195	3930	.	conv_high
2017	3	4	Equal	9ha	Grass	.	.	8597	3930	.	conv_high
